seq,1AB,2AB,3AB,4AB,5AB,6AB,7AB
63f37ee4b481fccdffca10160ed5b944,1.30592503,0,0.157977883,0,0,0,0.291132923
ed12d6c2cccee9737fcf027c28dc1504,0.024183797,0,0,0,0,0,0
a353b92733af5260a57dd1a0ba3001e1,9.014510278,0,2.14849921,0,0,0,2.054566628
38b371de3be6ddef03bea94294e9830d,13.49455865,0,3.775671406,0.028238616,0,2.449693788,12.06953918
28f9a25539c92bd0c608d3c9cec7991b,0.912938331,0,0.363349131,0,0,0,0.956579604
7281c911136ba2bdcafebb9c71729dea,0,0,0,0,0,0,0.207952088
c39f594d9d2493b66260c1f7503e5ea1,0.399032648,0.218818381,0.121116377,0,0,0,1.206122109
c4112b995ef6cd2f05559f6a3057bc7c,0,0,0,0,0,0,0.149725503
c54740e67850b527400a77af33bd3d89,0,0.517207082,0,0,0,0,0
fa8e5e27d8fba25e37fc05340a105914,0,0,0,0,0,0,0.124771253
326834f69c357dad79f31e792597dd1d,0,0.477421922,0,0,0,0,0
89056b9f86a0886730db47a8c45825eb,0,0,0,0,0,0,0.16636167
7d61548814c2806bca7f46e5de082b7e,0.030229746,0,0,0,0,0,0
e472b9258609f8985c34fb3e8706f692,0,0.149194351,0,0,0,0,0
532ff193b68d71a9e2229dd125e1eeb1,0,0.10940919,0,0,0,0,0
702860fda44c0d44ddacb5bd79fd5d24,0.15114873,1.104038194,0,0,0,0,0.207952088
4c301bbaaa0d8e3dc3356271c20fc5b5,0,0.547045952,0,0,0,0,0
8dba5d94c21557246f8c48418b0f3bda,0,0.149194351,0,0,0,0,0
73a1573f73ae093cf73af7ee45962885,0,0.07957032,0,0,0,0,0
35796c6b949f569e7a6af67f9e7cea60,0,0.03978516,0,0,0,0,0
bde5589b9ad383774dab7d2e122e1a20,0,0.228764671,0,0,0,0,0
82f3d62aabc8caf816ec2120e9c14bb5,0,0.07957032,0,0,0,0,0
b098523d1b3f58bbb80fe9308fb8912c,0,0.08951661,0,0,0,0,0
d02c1f9542a849cf25350e12135538f8,0,0.0994629,0,0,0,0,0
169d803cc0a2a89e75f8e82c2efae93a,0,0.07957032,0,0,0,0,0
808aabfa9f1d835aacd50c80022f5662,0,0.08951661,0,0,0,0,0
a3a27b1f9a692d076bfe8edc024b59b2,0,0.07957032,0,0,0,0,0
50420826a4434507209193c117f54130,0,0.03978516,0,0,0,0,0
e335570f65a3bc3a849f355ac1698181,0,0.02983887,0,0,0,0,0
e96b5191533b55b247369d8649d8458d,0,0.10940919,0,0,0,0,0
a32e850a5f65ae413256b32a7943262e,0,0.02983887,0,0,0,0,0
fa7645eda32b4e6cfa5a7641e34be6b8,0,0.11935548,0,0,0,0,0
f0f5fe3a3ccc66ce7e67e82294654107,0,0,0,0,0,0,0.207952088
9da4ea500796da41c5f69150f7e881cd,0,0.02983887,0,0,0,0,0
523a7e01fa5c47d91e959292759c7ac7,0,0,0,0,0,0,0.024954251
a3b877f1dff0ba6b66a9e7d200aab9ac,0,0.04973145,0,0,0,0,0
dd6fefe041303ae392d88c1a58620a4d,0,0.03978516,0,0,0,0,0
8442bd30ea2bf39ad3c2136197a0b861,0,0.07957032,0,0,0,0,0
b4047348b90c6f16b7fba7f7330bf87e,0,0.964790133,0,0,0,0,0
b800c963feb00fb8c515a42b85eb4ceb,0,0.12930177,0,0,0,0,0
037d51bfc8219646348004bc01f82f76,0,0.05967774,0,0,0,0,0
8222e8db898fcc3282110b1e099bfdb5,0,0.05967774,0,0,0,0,0
64b0ba388dd3728a36854c2f014b3129,0,1.362641735,0,0,0,0,0
cb6e61a6c468d63ca89dc4f8c67e8554,0,0.934951263,0,0,0,0,0
e1809c067af83a3dc4623ce28f35fe79,0.072551391,0.835488363,0.010531859,0,0,0,0.224588255
86db8e2a8d148a230cda8c2bcff4af23,0,0,0,0,0,0,0.058226585
f486ad1bcca90a8bd9b68c76212312c3,0,0.0994629,0,0,0,0,0.033272334
603ab94ae666e02cf4cc8a2132414ef5,0,0.10940919,0,0,0,0,0
62925abc081ef537aea1336e58a4548a,0,1.004575293,0,0,0,0,0.14140742
fe5a45686af6b4b7eaff28a4dcaef15b,0,0.149194351,0,0,0,0,0
d18b974ac90e1ed0a2fb83d0f4061132,0,0.06962403,0,0,0,0,0
c5f63d06bc0e136c998bf43f719776c3,0,0,0,0,0,0,0.199634004
051d14c7d7e9a5358e8da8a52b48bca3,0,0,0,0,0,0,0.149725503
3ffbac564ae83148bbb18197b7093464,0,0.07957032,0,0,0,0,0
951e9b0abcfa75745329f789c2130b9d,0,0.149194351,0,0,0,0,0
17f8b49438a29eaf0a8f6cbcb54e1748,0,0.318281281,0,0,0,0,0
528c8b62a54ebc17e9ffc1c72eb8e546,0,0.08951661,0,0,0,0,0
65060a69d6f289e1ed088bae5510fc9f,0,0.12930177,0,0,0,0,0
5976a56adfe903f7348b5eb5689e3c55,0,0,0,0,0,0,0.124771253
38ed1b710731ad5917c2f6cf41a97351,0,0.06962403,0,0,0,0,0
432a02504adb954775f641117e6d7b14,0,0.626616272,0,0,0,0,0
155e05f619ce3d99d02490b7cf22ffb5,0,0.298388701,0,0,0,0,0
c3764288be8ac8815185c4ee6d913e81,0,0.12930177,0,0,0,0,0
85dbf4fc6f45d7715479fc3c5cb4f1ff,0,0.12930177,0,0,0,0,0
b65ddb808f41ed58f0a87829f790124c,0.036275695,2.675552019,0,0,0,0,0.715355182
65db89cb7753aa9ae2885315cf5ffe04,0,0.556992242,0,0,0,0,0
ea156f972cd3802c3fac147e4200ba7a,0.253929867,0,0,0.275326509,0,0,0.357677591
c07c3dbc8e15fe3ee2eb1a274f896601,0,0.02983887,0,0,0,0,0
e17ced43ed9be80fe0aa4f9ccf1756db,0,0.248657251,0,0,0,0,0
eb689bb0db80cb3fc1f81366f262fd18,0,0,0,0,0,0,0.083180835
4c1a88e377091f87ffabed901e534c3c,0,0.06962403,0,0,0,0,0
676c29f329b29adbd48921804b86030e,0,0,0,0,0,0,0.049908501
c90e41fa7df0d32bc9a9e89e5b36e42c,0,0.08951661,0,0,0,0,0
14f013032d3d55ac24bde620c2d8f945,0,0.208872091,0,0,0,0,0
c6e49e291c8d5276a4e989d8bf9b589d,0,0.169086931,0,0,0,0,0
eb806bb1dd30405c489b4706cacd2d26,0,0.04973145,0,0,0,0,0
fe1ae79503d8829f9c4ca3feb74a36a2,0,0,0,0,0,0,0.024954251
2096bed8d8d3c009cd128c5f66954ed4,0,2.048935747,0,0,0,0,0.099817002
3bfacc1362d0b9105a10b04c3addbf0c,0,0.04973145,0,0,0,0,0
a5ea8c2ae0dc9882cf9358924dd4f453,0,0,0,0,0,0,1.114623191
d48429274cd09a4257ad8b24c009e8fd,0,0,0,0,0,0,1.613708202
5e8cb8936e86bcb9e20967ca9886dde2,0,0.04973145,0,0,0,0,0
021d1583edfe105a9c99264ea9f3d2d6,0,0,0,0,0,0,0.099817002
ce21e0d8c29a8e91b8f8ed03fb21d296,0,0,0,0,0,0,0.116453169
83adaf3a09d08c93f2abea6a4c815592,0,0,0,0,0,0,0.108135086
a402fc6f0fd057decbe746f48bf12862,0,0.06962403,0,0,0,0,0
e6485d233ed2b8b9a2f3f50f0747b9d2,0,0,0,0,0,0,0.224588255
b64f2cd0b47a6548ebe2077c728b213f,0.030229746,0,0,0,0,0,0
d5e86e0fe7c13c5751606c96f3788345,0,0,0,0,0,0,0.316087174
fcccc3eb2c056e63f3ae3566bea21653,0,0,0,0,0,0,0.049908501
06e148ad8b35489ea97e51ef733e9550,0,0.298388701,0,0,0,0,0
4adbf4beb8d2b17f63b543e4d9aa39b6,0,0,0,0,0,0,0.274496756
f67bfc33bddfbd4d03ce7ae694c2dcdc,0,0.08951661,0,0,0,0,0
4e92375ea5df552d917b42cf4b42f8c3,0,0.04973145,0,0,0,0,0
f344d4281112bb7cf5358c04fda869ee,0,0.07957032,0,0,0,0,0
85bc1a55639b9e35e2eed34f4c78295a,0,0.06962403,0,0,0,0,0
606cc5b65f868c03389a5cde84fee5d5,0,0.01989258,0,0,0,0,0
e561c5c5f92aa66e6b1befb81385d1fc,0.133010883,3.640342152,0.026329647,0,0,0,0.091498919
9b29795b6a07b073b71d5196ded69d85,0,0.07957032,0,0,0,0,0
1f003e944f4c451188139f78a4dbead3,0,0.288442411,0,0,0,0,0
0cdf6b354c008cd74c18af9f484f8bf7,0,0.377959021,0,0,0,0,0.074862752
281228d4a8faf2330f12bda44eeeb6af,0,0.387905311,0,0,0,0,0
70695a2dd2306734e7c9ea68f7ce51b0,0,0.05967774,0,0,0,0,0
99b459540b7b4682716095be1962981e,0,0.726079172,0,0,0,0,0
ac2b55ca5e16c68a78d720b85a228def,0,0.407797891,0,0,0,0,0
a061d8883eca2028db1d268500722130,0,0.159140641,0,0,0,0,0.823490268
5f452e591d65c3a4fee53f0cc354ea72,0,0.368012731,0,0,0,0,0
3343d19c0bc1759a66023cbc86c92592,0,0,0,0,0,0,0.840126435
ef9fddde19882aba901f1b0419ec09d8,0,0.606723692,0,0,0,0,0.191315921
c487c317433b2236a0872af25cb3b3de,0,0.13924806,0,0,0,0,0
b4f2259d327087f4ab3431dbac93e175,0,0.07957032,0,0,0,0,0
9b38c83e9f4e2a1c9ccca312a8701603,0,0.676347722,0,0,0,0,0.116453169
3ade0fa13e56aac194bb3373200d6def,0,7.598965586,0,0,0,0,0.291132923
14b75c6ee0cf3c6c2517a9a07eaf76e7,0,0.05967774,0,0,0,0,0
02541e05438ebd6cd913200972ef5e4b,0,0,0,0,0,0,0.033272334
76ef356d895e6434580f18ab74a63e6c,0.108827086,0,0.047393365,0,0,0,0.341041424
0c65bed28a2aa2d97c57efd4dcd72422,0,0,0,0,0,0,0.016636167
ad7b37d7259f65ae5d2d898c539a6297,0,0,0,0,0,0,0.024954251
df8c8c485621e9cb48fed0103738dd07,0,0.318281281,0,0,0,0,0
effac6ec8d11ae5d2d4f029c5f18e3be,0,0,0,0,0,0,0.091498919
3f621680f877f8755d3bf38982001f7b,0,0,0,0,0,0,0.083180835
b97547037e6bed020583b930bd3684cc,0,0.13924806,0,0,0,0,0
9a48d66f52c47289df8517641c188d9b,0,0.11935548,0,0,0,0,0
933c1a437592c012f7169968b9045854,0,0,0,0,0,0,0.058226585
4a76bdc5b45d149d7aa31d04b9f46dbe,0,0.686294012,0,0,0,0,0
29b981c98faa891c7e4d3ed2e5ff9aab,0,0.288442411,0,0,0,0,0
8855fec4062970bb235780d6469a1d6d,0,1.064253034,0,0,0,0,0.182997837
5bf368734532c9983d05d3a115ea4595,0,0.04973145,0,0,0,0,0
d90a508c16f836b367d8a4e88bb43d27,0,0.01989258,0,0,0,0,0
814bad63e7ffda527994b0a93fb1bbb8,0,0.06962403,0,0,0,0,0
3e7cd84190abdf77b87adca0a5a3a90d,0,0.07957032,0,0,0,0,0
9c2715f01a2150cf83e87856eeba43e7,0,0.05967774,0,0,0,0,0
835bb682be3fa7b086047fefbc88efb8,0,0.0994629,0,0,0,0,0
164d643c2ab1c208aec586f0da8c71f4,0,0.04973145,0,0,0,0,0
664e1ee046659d47ded4a40ad1133a33,0,0,0,0,0,0,0.16636167
cbdbfdb04645392c58a535dd16e46972,0,0.03978516,0,0,0,0,0
1b247cf513fceda7527eb769c966fc14,0,0.03978516,0,0,0,0,0
42281a8b8258b479ab0fff3514839093,0,0.01989258,0,0,0,0,0
172df84126559d3703a3b6184b45a0ee,0,0.198925801,0,0,0,0,0
62e3b0025d339d4481a45a0f0aadacfe,0,0,0,0,0,0,0.033272334
ce2061796f0dee9838e806cd86488535,0,0.11935548,0,0,0,0,0
bdb4a8177d34d5e7899e74940d5e8d4d,0,0.05967774,0,0,0,0,0
a9c824dcc1edf7518389d9eec8ed0ebb,0,0.805649493,0,0,0,0,0
ff6a63aa3a8877a90e31ca73fa5fbdd7,0,0.278496121,0,0,0,0,0
c1f81147c6ba8b689b8e090809cd5332,0,0.188979511,0,0,0,0,0
5ef194c523178b714e804757a3218c3a,0,0.04973145,0,0,0,0,0
0fca954bc7d9e235bb9204087bcdbe9d,0,0,0,0,0,0,0.016636167
520d89ef4ce2ba808eed3e2d9a310649,0,0.01989258,0,0,0,0,0
7141921d9117df050c7e3d64516ff8c7,0,0.04973145,0,0,0,0,0
057bcefe7d185d0daf7b610144b1fa59,0,0,0,0,0,0,0.083180835
9f86297104372f6378c6bf3dc1a8e8ec,0.084643289,0,0,0,0,0,0.257860589
90a5e55fa876aa0bf69ffe16087cd920,0,0.149194351,0,0,0,0,0.191315921
69e069d107e0deb8007bb1ae28c72dbf,0,0,0.042127435,0,0,0,0
23d185302357f6837cd05b5a4ea8a752,0,0.278496121,0,0,0,0,0
c6d1c8a43afe01b7401a3595ad0a5640,0,0.238710961,0,0,0,0,0
21303e01cd67416ee96438f8033c47ec,0,0.258603541,0,0,0,0,0
fa056a5c91b0b397027112ce824c8563,0,0.228764671,0,0,0,0,0
d8f3f4d8d0a6498d307679923623a9e1,0,0.11935548,0,0,0,0,0
c8e89e914c336fba512846828b84f740,0,0.05967774,0,0,0,0,0
2b10a074b0f59b702c22aff7e6b39787,0,0.258603541,0,0,0,0,0
873b71b30dcfcdbdf2e7080dd9db241f,0,0.0994629,0,0,0,0,0.133089336
86ce8e836244a989d26315bf84d75d99,0,0,0,0,0,0,0.049908501
1d4b9f3ddf33afdf5308213897846090,0,2.307539288,0,0,0,0,0.939943437
c443676f32a4347c0a752bad5a62c30e,0,0.149194351,0,0,0,0,0
6ed1f425cd7d234afdf0906b91293ae2,0,0,0,0,0,0,0.049908501
da42156b748b0af3ebc3c6268720755e,0,0,0,0,0,0,0.033272334
9cc5b63b74154fc7bcdf7e8796e5d2de,0,0.02983887,0,0,0,0,0
6504a13e2edb3328fffb344daf7b2ee3,0,0.149194351,0,0,0,0,0.049908501
a41371aa833164c1e707004fdfb16b36,0,0.169086931,0,0,0,0,0.091498919
edb1b7dc98830cdfb83ef9466ad4aaaa,0,0,0,0,0,0,0.091498919
43c944338e9f3b7dbdf05108887a754a,0,0.198925801,0,0,0,0,0
8a652928ef13cc45fe6fad624a6fa1d2,0,0.228764671,0,0,0,0,0
f8341190bb77698ac02db7d78a5d5ea8,0,0.179033221,0,0,0,0,0
ab4d207ba005958298be140605c5a8fb,0,0.159140641,0,0,0,0,0
04bc2a095282907ef4df7a2a9447166f,0,0.198925801,0,0,0,0,0
faf8523a598758d2451323106cf28b7c,0,0,0,0,0,0,0.149725503
758b8307071957eb86c89a180b187482,0,0.566938532,0,0,0,0,0.133089336
ae53fe95ad7f469e3187a126d6098100,0,0.258603541,0,0,0,0,0.465812677
ca283eec31cc19396e15323c87386f2a,0,0.02983887,0,0,0,0,0
3193b7b66be51b083b913c3134f6fc50,0,0.01989258,0,0,0,0,0
8fa90e60ddaccabffcd68f6a481318a2,0,0.10940919,0,0,0,0,0.108135086
aad81ac0351dcd619b00c97e690dfa5f,0,0,0,0,0,0,0.099817002
798933fd16ab772e1e547b6af3461e47,0,0,0,0,0,0,0.041590418
fd4dc2d3654041c497b3d8e6cee4d18b,0,1.511836085,0,0,0,0,0.299451006
19cfc988be2bc698e4e8e24f3c017dad,0,0.11935548,0,0,0,0,0.133089336
9402a88039d28ae63134690e54bc5af7,0,0.179033221,0,0,0,0,0
592e037654532013ab7258e4ae16b0b5,0,0,0,0,0,0,0.049908501
3bb685a144d6b9fd08b8df1ba0ae955e,0,0.04973145,0,0,0,0,0
40f949d407d1b3ce3daafff65eed76b4,0,0.06962403,0,0,0,0,0
29d5a1f45c97760080e874715394bcfe,1.058041112,0,0.157977883,0,0,1.837270341,0.182997837
80a71af1012d953166a381de20ac5dd0,0.429262394,0,0.110584518,0,0,0,0
8658443ac48e043652445ada8a1b38e9,0,0,0,0,0,0,0.058226585
09a4ea930ca6f241d4210fb9dc689f2f,0,0.05967774,0,0,0,0,0
9e4993b7e2e6e5d4b584c46aaac0bde5,0,0.0994629,0,0,0,0,0
6868203f42c3571c5d284d6fd8077b84,0.024183797,0,0,0,0,0,0.216270171
66575db7635d648549a9eb5a4eafb710,0,0,0,0,0,0,0.049908501
894d5f2608f2a0e9e3bf2499f1cc6130,0.07859734,0.417744181,0,0,0,0,0.798536017
18c8a1caa02afa9f20b6974f6da7568c,0,0,0,0,0,0,0.124771253
76861e4fd720b21d96693697fa6b48fc,0,0,0,0,0,0,0.024954251
1c259c84edfd90c28f17c1875a7c9747,0,0.12930177,0,0,0,0,0
5a66f8310ec63f2648ee84a8f03ed1d7,0,0.477421922,0,0,0,0,0
53b91ed8941d63dc6bdcf622f25e3b10,0,0.149194351,0,0,0,0,0
fdbf76a389e7e1045f64dcd50696b8e7,0,0,0,0,0,0,0.091498919
9e34be9ba45cfc26dc3b1f8a29025ac2,0,0.05967774,0,0,0,0,0
95efcfc5bf54e543b76173209e6ecfd9,0,0,0,0,0,0,0.133089336
85217fd04e507a6c09341cfad7c30c93,0,0.08951661,0,0,0,0,0
1f35c846f62c214ae4a0967923bbadbc,0,0.07957032,0,0,0,0,0
92c7d2d035c344ba43e756fcc909c99f,0,0.0994629,0,0,0,0,0
878e92b4ed5d195510b93ad6c1c83103,0,0.05967774,0,0,0,0,0
76a43b01e1b397fed9d963f273f17a59,0,0.12930177,0,0,0,0,0.066544668
ae2245c2d637b8badfb1037f95ffd4f7,0,0.298388701,0,0,0,0,0.182997837
20a4b09a04793b8d7bb6cba926315df8,0,0.05967774,0,0,0,0,0
9fd90ca5d6775c90e4e6e46e09b38313,0,0.437636761,0,0,0,0,0
058f50a8bccf06f41d115822bdfe37fb,0.060459492,0.467475632,0,0,0,0,0
f539646a648d441a17a890b40f8e56be,0,0,0,0,0,0,0.091498919
05771e0f1c5425fc486934e2beb87956,0,0,0,0,0,0,0.415904176
8dad564a170a7822f20bb08c1a6d699a,0,0.258603541,0,0,0,0,0
234b81fb7fa91bcfef74c8511c07a219,0,0.07957032,0,0,0,0,0
9be2a4f786cbae9862513cec5dd15ccc,0,0,0,0,0,0,0.016636167
e973e792bb24983e1304d41a8ed0c375,0,0.03978516,0,0,0,0,0
f18d4d1f32aca3b61c8d25703e43fea4,0,0.02983887,0,0,0,0,0
b7a2f949d87f6ce14145811c2d2974af,0,0.208872091,0,0,0,0,0
38fc90a232589415e1f0ed3673357fb4,0,0.358066441,0,0,0,0,0
27acca0f07269de77bf31e1b93ecd63a,0,0.228764671,0,0,0,0,0
e1abbababbc410f2f1faa24f6ccbc7f9,0,0,0,0,0,0,0.731991349
815d2b7122e4428055f4b420de72f5b2,0,0,0,0,0,0,0.083180835
8fabb679415fe6a9969015076873e211,0.084643289,0,0,0,0,0,0.332723341
48d3df1c8c87428a5ef19a3ea0a4c6d1,0,0.208872091,0,0,0,0,0
3b9ecba29136f8919aea26a394a936aa,0,0,0,0,0,0,0.058226585
b659fcf2b17787c3e45bedfc42a89936,0.320435308,0,0.073723012,0,0,0.524934383,0
911ddc4e1da558630158fa05fba14992,0,0,0,0,0,0,0.191315921
fe74d2e267ad3ebb8fbfe24bbb464049,0,0,0,0,0,0,0.316087174
52ac87abfa970ee890f4bfb7ce0f1337,0,0.05967774,0,0,0,0,0
